nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%96&last_name=%D0%A1 HTTP/1.1" 200 12 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%94&last_name=%D0%93 HTTP/1.1" 200 764231 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:12.692Z  INFO 1 --- [core] [nio-8083-exec-5] o.o.h.core.controller.UserController     : start search by param К Л
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%9A&last_name=%D0%9B HTTP/1.1" 200 420272 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:12.717Z  INFO 1 --- [core] [nio-8082-exec-3] o.o.h.core.controller.UserController     : start search by param А К
core-2             | 2024-06-19T19:23:12.824Z  INFO 1 --- [core] [nio-8083-exec-6] o.o.h.core.controller.UserController     : start search by param С В
core-2             | 2024-06-19T19:23:12.824Z  INFO 1 --- [core] [nio-8083-exec-8] o.o.h.core.controller.UserController     : start search by param Г Е
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%93&last_name=%D0%95 HTTP/1.1" 200 122763 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%A1&last_name=%D0%92 HTTP/1.1" 200 640913 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:12.867Z  INFO 1 --- [core] [nio-8082-exec-2] o.o.h.core.controller.UserController     : start search by param А Т
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%90&last_name=%D0%A2 HTTP/1.1" 200 1288589 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:12.963Z  INFO 1 --- [core] [nio-8083-exec-9] o.o.h.core.controller.UserController     : start search by param Ж К
core-2             | 2024-06-19T19:23:12.963Z  INFO 1 --- [core] [nio-8083-exec-7] o.o.h.core.controller.UserController     : start search by param Т Р
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%96&last_name=%D0%9A HTTP/1.1" 200 12 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:12 +0000] "GET /user/search?first_name=%D0%A2&last_name=%D0%A0 HTTP/1.1" 200 141586 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:13 +0000] "GET /user/search?first_name=%D0%90&last_name=%D0%9A HTTP/1.1" 200 5732026 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:13.048Z  INFO 1 --- [core] [nio-8083-exec-1] o.o.h.core.controller.UserController     : start search by param И Д
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:13 +0000] "GET /user/search?first_name=%D0%98&last_name=%D0%94 HTTP/1.1" 200 239172 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:13.065Z  INFO 1 --- [core] [nio-8082-exec-4] o.o.h.core.controller.UserController     : start search by param Ж Б
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:13 +0000] "GET /user/search?first_name=%D0%96&last_name=%D0%91 HTTP/1.1" 200 12 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:13.171Z  INFO 1 --- [core] [io-8083-exec-10] o.o.h.core.controller.UserController     : start search by param О Н
core-1             | 2024-06-19T19:23:13.171Z  INFO 1 --- [core] [nio-8082-exec-5] o.o.h.core.controller.UserController     : start search by param К М
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:13 +0000] "GET /user/search?first_name=%D0%9E&last_name=%D0%9D HTTP/1.1" 200 72400 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:13 +0000] "GET /user/search?first_name=%D0%9A&last_name=%D0%9C HTTP/1.1" 200 863503 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:13.233Z  INFO 1 --- [core] [nio-8083-exec-2] o.o.h.core.controller.UserController     : start search by param Б Е
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:13 +0000] "GET /user/search?first_name=%D0%91&last_name=%D0%95 HTTP/1.1" 200 34812 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:13.314Z  INFO 1 --- [core] [nio-8083-exec-4] o.o.h.core.controller.UserController     : start search by param К Г
core-1             | 2024-06-19T19:23:13.314Z  INFO 1 --- [core] [nio-8082-exec-8] o.o.h.core.controller.UserController     : start search by param Б С
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:13 +0000] "GET /user/search?first_name=%D0%91&last_name=%D0%A1 HTTP/1.1" 200 107134 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:13 +0000] "GET /user/search?first_name=%D0%9A&last_name=%D0%93 HTTP/1.1" 200 546636 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:13.352Z  INFO 1 --- [core] [nio-8082-exec-6] o.o.h.core.controller.UserController     : start search by param З Н
